 
                                                                                                                                                                                                                                                                
 
   caldt        vwretd        sprtrn      spindx
19281004      0.001673       .               .  
19281005     -0.003670       .               .  
19281006     -0.001419       .               .  
19281008     -0.002859       .               .  
19281009      0.002750       .               .  
19281010      0.010466       .               .  
19281011      0.004925       .               .  
19281013      0.005737       .               .  
19281015      0.001341       .               .  
19281016      0.003147       .               .  
19281017      0.003344       .               .  
19281018      0.001710       .               .  
19281019      0.005793       .               .  
19281020     -0.005158       .               .  
19281022     -0.000790       .               .  
19281023      0.005624       .               .  
19281024      0.002390       .               .  
19281025     -0.003512       .               .  
19281026     -0.010169       .               .  
19281027      0.009358       .               .  
19281029      0.005125       .               .  
19281030     -0.009097       .               .  
19281031     -0.002928       .               .  
19281101      0.013793       .               .  
19281102     -0.001412       .               .  
19281103      0.001634       .               .  
19281105      0.011163       .               .  
19281107      0.011157       .               .  
19281108     -0.003912       .               .  
19281109      0.008531       .               .  
19281110      0.009088       .               .  
19281112      0.003495       .               .  
19281113      0.002921       .               .  
19281114     -0.000256       .               .  
19281115      0.004323       .               .  
19281116      0.016710       .               .  
19281117      0.000919       .               .  
19281119      0.000065       .               .  
19281120      0.009581       .               .  
19281121     -0.014838       .               .  
19281122      0.011802       .               .  
19281123      0.007901       .               .  
19281126      0.005248       .               .  
19281127      0.004298       .               .  
19281128      0.010691       .               .  
19281130      0.005214       .               .  
19281201     -0.009302       .               .  
19281203     -0.007081       .               .  
19281204      0.002371       .               .  
19281205     -0.004762       .               .  
19281206     -0.036495       .               .  
19281207     -0.022510       .               .  
19281208     -0.018471       .               .  
19281210      0.017698       .               .  
19281211      0.018530       .               .  
19281212     -0.008807       .               .  
19281213     -0.002125       .               .  
19281214      0.003327       .               .  
19281215     -0.002514       .               .  
19281217     -0.003337       .               .  
19281218      0.011638       .               .  
19281219      0.011883       .               .  
19281220      0.003513       .               .  
19281221      0.011578       .               .  
19281222     -0.000236       .               .  
19281224      0.008951       .               .  
19281226     -0.003754       .               .  
19281227      0.007906       .               .  
19281228      0.014128       .               .  
19281229      0.002216       .               .  
19281231      0.014362       .               .  
19290102      0.017256       .               .  
19290103      0.002465       .               .  
19290104      0.001184       .               .  
19290105     -0.010186       .               .  
19290107     -0.013656       .               .  
19290108     -0.001985       .               .  
19290109      0.013212       .               .  
19290110      0.002420       .               .  
19290111     -0.000721       .               .  
19290112     -0.003107       .               .  
19290114      0.002665       .               .  
19290115     -0.011727       .               .  
19290116      0.012332       .               .  
19290117      0.005983       .               .  
19290118      0.002633       .               .  
19290119      0.003726       .               .  
19290121     -0.001029       .               .  
19290122      0.007639       .               .  
19290123      0.005704       .               .  
19290124     -0.007642       .               .  
19290125      0.015526       .               .  
19290126     -0.000785       .               .  
